Company	Date	Project	Type
Useful school	2022	SPACE	SERVICE
Thales/Suadia	2/1/23	Airline's in-flight entertainment system.	Usability evaluation
Texas Higher Education Cordinating Board	2022	"k-12, College, University, Workforce"	Customer Research
Amazon	2/1/23	GREF	Customer Research
Eli Lilly	2021	"Health care providers, Duerma, Rhuema, Tool"	Customer Research
Farmacy Foods	2020	Some placeholder content in a paragraph.	And some muted small print.
Gates Ventures	2022	VC	Market Research
Hopelabs	2023	"Mental health, Genz, Web3"	Market Research
MRF Law Firm	"2018, 2020"	SPACE	SERVICE
Illirya	2019	Settler's Ridge Community Board	SERVICE
Hopelabs	2023	"Mental health, Genz, Web3"	Market Research
NAME	2023	SPACE	SERVICE
NAME	2023	SPACE	SERVICE
NAME	2023	SPACE	SERVICE
NAME	2023	SPACE	SERVICE